group,genus,species,ncbi_taxid,is_filamentous
Actinomycetota,Clavibacter,Clavibacter michiganensis,28447,Yes
Actinomycetota,Corynebacterium,Corynebacterium diphtheriae,1717,Yes
Actinomycetota,Corynebacterium,Corynebacterium ulcerans,65058,Yes
Actinomycetota,Mycobacterium,Mycobacterium avium,1764,Yes
Actinomycetota,Mycobacterium,Mycobacterium marinum,1781,Yes
Actinomycetota,Mycobacterium,Mycobacterium tuberculosis,1773,Yes
Actinomycetota,Mycobacteroides,Mycobacteroides abscessus,36809,Yes
Actinomycetota,Mycobacteroides,Mycobacteroides chelonae,1774,Yes
Actinomycetota,Mycolicibacterium,Mycolicibacterium smegmatis,1772,Yes
Actinomycetota,Streptomyces,Streptomyces scabiei,1930,Yes
Fungi,Alternaria,Alternaria alternata,5599,Yes
Fungi,Alternaria,Alternaria brassicicola,29001,Yes
Fungi,Alternaria,Alternaria citri,135859,Yes
Fungi,Alternaria,Alternaria longipes,160389,Yes
Fungi,Alternaria,Alternaria solani,48100,Yes
Fungi,Ascochyta,Ascochyta rabiei,5454,Yes
Fungi,Aspergillus,Aspergillus carbonarius,40993,Yes
Fungi,Aspergillus,Aspergillus flavus,5059,Yes
Fungi,Aspergillus,Aspergillus fumigatus,746128,Yes
Fungi,Beauveria,Beauveria bassiana,176275,Yes
Fungi,Bipolaris,Bipolaris maydis,5016,Yes
Fungi,Bipolaris,Bipolaris oryzae,101162,Yes
Fungi,Bipolaris,Bipolaris sorokiniana,45130,Yes
Fungi,Bipolaris,Bipolaris zeicola,5017,Yes
Fungi,Botrytis,Botrytis cinerea,40559,Yes
Fungi,Botrytis,Botrytis elliptica,278938,Yes
Fungi,Candida,Candida albicans,5476,Either
Fungi,Candida,Candida dubliniensis,42374,Either
Fungi,Candida,Candida glabrata,5478,Either
Fungi,Candida,Candida parapsilosis,5480,Either
Fungi,Candida,Candida tropicalis,5482,Either
Fungi,Cercospora,Cercospora nicotianae,29003,Yes
Fungi,Cercospora,Cercospora zeae-maydis,135779,Yes
Fungi,Claviceps,Claviceps purpurea,5111,Yes
Fungi,Clavispora,Clavispora lusitaniae,36911,Yes
Fungi,Colletotrichum,Colletotrichum acutatum,27357,Yes
Fungi,Colletotrichum,Colletotrichum coccodes,27358,Yes
Fungi,Colletotrichum,Colletotrichum gloeosporioides,474922,Yes
Fungi,Colletotrichum,Colletotrichum graminicola,31870,Yes
Fungi,Colletotrichum,Colletotrichum higginsianum,80884,Yes
Fungi,Colletotrichum,Colletotrichum lagenaria,5462,Yes
Fungi,Colletotrichum,Colletotrichum lindemuthianum,290576,Yes
Fungi,Colletotrichum,Colletotrichum orbiculare,5465,Yes
