term_id,replaced_by_id,consider_id
PHIDO:0000002,,
PHIDO:0000003,,PHIDO:0000168
PHIDO:0000004,,PHIDO:0000167
PHIDO:0000006,PHIDO:0000190,
PHIDO:0000014,PHIDO:0000211,
PHIDO:0000014,PHIDO:0000013,
PHIDO:0000019,,PHIDO:0000430
PHIDO:0000021,,
PHIDO:0000038,,PHIDO:0000210
PHIDO:0000039,,PHIDO:0000296
PHIDO:0000040,,PHIDO:0000338
PHIDO:0000041,,PHIDO:0000485
PHIDO:0000044,,PHIDO:0000065
PHIDO:0000045,,
PHIDO:0000055,PHIDO:0000054,
PHIDO:0000056,,PHIDO:0000116
PHIDO:0000059,,PHIDO:0000474
PHIDO:0000059,,PHIDO:0000058
PHIDO:0000074,,PHIDO:0000024
PHIDO:0000080,,PHIDO:0000430
PHIDO:0000082,,PHIDO:0000503
PHIDO:0000083,,PHIDO:0000047
PHIDO:0000084,,PHIDO:0000065
PHIDO:0000085,,PHIDO:0000435
PHIDO:0000086,,PHIDO:0000174
PHIDO:0000103,,PHIDO:0000013
PHIDO:0000106,,PHIDO:0000013
PHIDO:0000107,,PHIDO:0000164
PHIDO:0000117,,PHIDO:0000116
PHIDO:0000119,,PHIDO:0000481
PHIDO:0000127,,PHIDO:0000448
PHIDO:0000128,,
PHIDO:0000129,,
PHIDO:0000132,PHIDO:0000168,
PHIDO:0000139,,
PHIDO:0000142,,
PHIDO:0000144,,PHIDO:0000501
PHIDO:0000145,,PHIDO:0000502
PHIDO:0000146,,PHIDO:0000328
PHIDO:0000150,PHIDO:0000207,
PHIDO:0000151,PHIDO:0000411,
PHIDO:0000152,,PHIDO:0000168
PHIDO:0000153,,
PHIDO:0000156,PHIDO:0000414,
PHIDO:0000163,PHIDO:0000162,
PHIDO:0000165,PHIDO:0000168,
PHIDO:0000173,,
PHIDO:0000175,,PHIDO:0000174
PHIDO:0000176,,PHIDO:0000174
PHIDO:0000181,,PHIDO:0000168
PHIDO:0000183,,PHIDO:0000255
PHIDO:0000184,,
PHIDO:0000189,PHIDO:0000255,
PHIDO:0000193,,
PHIDO:0000198,,
PHIDO:0000216,,PHIDO:0000460
PHIDO:0000217,,
PHIDO:0000222,PHIDO:0000303,
PHIDO:0000225,,PHIDO:0000013
PHIDO:0000226,,PHIDO:0000126
PHIDO:0000227,,PHIDO:0000455
PHIDO:0000228,,PHIDO:0000504
PHIDO:0000229,,PHIDO:0000211
PHIDO:0000230,,PHIDO:0000338
PHIDO:0000231,,PHIDO:0000346
PHIDO:0000233,,PHIDO:0000013
PHIDO:0000236,,PHIDO:0000397
PHIDO:0000242,,PHIDO:0000397
PHIDO:0000245,,
PHIDO:0000285,,PHIDO:0000013
PHIDO:0000286,,PHIDO:0000425
PHIDO:0000287,,PHIDO:0000459
PHIDO:0000290,,PHIDO:0000064
PHIDO:0000293,,PHIDO:0000206
PHIDO:0000294,,PHIDO:0000474
PHIDO:0000295,,PHIDO:0000477
PHIDO:0000297,,
PHIDO:0000304,PHIDO:0000303,
PHIDO:0000310,PHIDO:0000309,
PHIDO:0000311,PHIDO:0000309,
PHIDO:0000312,,PHIDO:0000024
PHIDO:0000313,,PHIDO:0000028
PHIDO:0000314,,PHIDO:0000030
PHIDO:0000316,,PHIDO:0000449
PHIDO:0000320,,PHIDO:0000013
PHIDO:0000330,PHIDO:0000345,
PHIDO:0000331,PHIDO:0000329,
PHIDO:0000337,,
PHIDO:0000341,,PHIDO:0000318
PHIDO:0000342,,PHIDO:0000349
PHIDO:0000343,,PHIDO:0000116
PHIDO:0000352,,
PHIDO:0000357,,PHIDO:0000211
PHIDO:0000364,PHIDO:0000396,
PHIDO:0000365,,PHIDO:0000209
PHIDO:0000366,,PHIDO:0000397
PHIDO:0000384,,PHIDO:0000430
PHIDO:0000385,,
PHIDO:0000387,,PHIDO:0000171
PHIDO:0000388,,PHIDO:0000296
PHIDO:0000389,,PHIDO:0000477
PHIDO:0000390,,PHIDO:0000345
PHIDO:0000391,,PHIDO:0000490
PHIDO:0000392,,PHIDO:0000400
PHIDO:0000403,PHIDO:0000307,
