"column_1","value_1","column_2","value_2","primary_id","primary_label","eco_id","eco_label","feature","extension_relation","extension_range"
"disease_manifestation","Fewer and smaller disease lesions",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","Low disease severity; few and isolated lesions",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","Small and isolated lesions",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","few lesions",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","few scattered lesions",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","fewer and smaller lesions",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","fewer lesions; colonization similar to the wild type strains",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","less extensive lesions",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","reduction in disease lesion development",,,"?","decreased quality of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","scant and small tumors",,,"PHIPO:0000985","decreased extent of pathogen-associated host lesions & decreased size of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","no disease lesions",,,"PHIPO:0000481","absence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","no necrotic lesions formed",,,"PHIPO:0000481","absence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","Lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","Necrotic lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","brown spots and lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","diamond-shaped and gray-centered lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","necrotic lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","typical blast lesions (data not shown)",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","chlorosis and rare ligula swellings; no tumors",,,"PHIPO:0000215","host chlorosis present in presence of pathogen",,,"metagenotype",,
"disease_manifestation","chlorosis and rare ligula swellings; no tumors",,,"PHIPO:0000481","absence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","local chlorosis; necrotic spots",,,"PHIPO:0000215","host chlorosis present in presence of pathogen",,,"metagenotype",,
"disease_manifestation","local chlorosis; necrotic spots",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","chlorotic areas and anthocyanin production",,,"PHIPO:0000215","host chlorosis present in presence of pathogen & presence of anthocyanin production",,,"metagenotype",,
"disease_manifestation","predominantly chlorosis and large tumors",,,"PHIPO:0000215","host chlorosis present in presence of pathogen & presence of tumors",,,"metagenotype",,
"disease_manifestation","Chlorosis",,,"PHIPO:0000215","host chlorosis present in presence of pathogen",,,"metagenotype",,
"disease_manifestation","Chlorotic lesion, no tumors",,,"PHIPO:0000215","host chlorosis present in presence of pathogen & absence of tumors",,,"metagenotype",,
"disease_manifestation","predominantly chlorosis",,,"PHIPO:0000215","host chlorosis present in presence of pathogen",,,"metagenotype",,
"disease_manifestation","small chlorotic spots",,,"PHIPO:0000215","host chlorosis present in presence of pathogen",,,"metagenotype",,
"disease_manifestation","Locally restricted chlorosis and no spreading necrotic lesions 6 days after inoculation.",,,"PHIPO:0000985","? & decreased extent of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","2 logs fewer CFUs",,,"?","decreased number of colony forming units",,,,,
"disease_manifestation","Abscess",,,"?","presence of abscess formation",,,,,
"disease_manifestation","Mutants lesion size 68% of the wild type lesion size",,,"?","decreased size of lesions",,,,,
"disease_manifestation","Small necrotic lesions or no lesions",,,"?","decreased size of lesions & decreased number of lesions",,,,,
"disease_manifestation","Smaller lesions with a white center surrounded by a dark-brown circle and yellowish margins.",,,"?",,,,,,
"disease_manifestation","brown granule generation and cell death",,,"?",,,,,,
"disease_manifestation","delayed",,,"?",,,,,,
"disease_manifestation","delayed development of disease and smaller lesions",,,"?","? & decreased size of lesions",,,,,
"disease_manifestation","delayed symptoms; reduced symptoms; delayed sporulation; reduced sporulation; wild type; ;",,,"?",,,,,,
"disease_manifestation","full blast lesion rarely formed; lesions smaller",,,"?","decreased size of lesions",,,,,
"disease_manifestation","large necrotic areas",,,"?",,,,,,
"disease_manifestation","larger granulomatous lesions",,,"?","increased size of lesions",,,,,
"disease_manifestation","local chlorosis; necrotic spots; small tumors",,,"PHIPO:0000215","host chlorosis present in presence of pathogen",,,"metagenotype",,
"disease_manifestation","local chlorosis; necrotic spots; small tumors",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","local chlorosis; necrotic spots; small tumors",,,"?","presence of tumors",,,"metagenotype",,
"disease_manifestation","localized necrosis",,,"?",,,,,,
"disease_manifestation","minor brown single lesion",,,"?","presence of pathogen-associated host lesions",,,,,
"disease_manifestation","no tumors, only necrotic lesions",,,"?","absence of pathogen-associated tumors & presence of pathogen-associated host lesions",,,,,
"disease_manifestation","only chlorotic lesions, or minute tumors",,,"?","& reduced size of tumors",,,,,
"disease_manifestation","predominantly large tumors",,,"?","presence of tumors",,,,,
"disease_manifestation","predominantly necrosis",,,"?",,,,,,
"disease_manifestation","predominantly small tumors",,,"?","presence of tumors",,,,,
"disease_manifestation","shorter lesions",,,"?","decreased length of lesions",,,,,
"disease_manifestation","small lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","small necrotic lesion",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","small necrotic lesions",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
"disease_manifestation","small necrotic-like dark brown spots",,,"PHIPO:0000480","presence of pathogen-associated host lesions",,,"metagenotype",,
