"exp_technique_stable","pathogen_allele_type","host_allele_type","evidence_code","expression"
"altered gene expression / gene regulation","gene mutation: regulator",,,
"altered gene expression / gene regulation; chemical complementation","gene mutation: regulator",,"chemical complementation",
"altered gene expression / gene regulation; other evidence: transgenic plants","gene mutation: regulator",,,
"altered gene expression / gene regulation: constitutive expression","gene mutation: regulator",,,"constitutive expression"
"altered gene expression / gene regulation: downregulation","gene mutation: regulator",,,"downregulation"
"altered gene expression / gene regulation: overexpression","gene mutation: regulator",,,"overexpression"
"altered gene expression / gene regulation: overexpression; gene complementation","gene mutation: regulator",,,"overexpression"
"altered gene expression / gene regulation: overexpression; gene deletion: partial","altered gene expression / gene regulation: overexpression; gene deletion: partial",,,"overexpression"
"altered gene expression / gene regulation: overexpression; other evidence: transgenic","gene mutation: regulator",,"transgenic plant","overexpression"
"altered gene expression / gene regulation: overexpression; other evidence: transgenic plants","gene mutation: regulator",,"transgenic plant","overexpression"
"altered gene expression / gene regulation: silencing","gene mutation: regulator",,,"silencing"
"altered gene expression / gene regulation: silencing; other evidence: overexpression","gene mutation: regulator",,,"silencing"
"altered gene expression / gene regulation: silencing; other evidence: transgenic plants","gene mutation: regulator",,"transgenic plant","silencing"
"altered gene expression / gene regulation: silencing; other evidence: transient expression","gene mutation: regulator",,"transient expression","silencing"
"altered gene expression / gene regulation: silencing: gene complementation","gene mutation: regulator",,"gene complementation","silencing"
"altered gene expression/ gene regulation: overexpression","gene mutation: regulator",,,"overexpression"
"altered gene expression/ gene regulation: silencing","gene mutation: regulator",,,"silencing"
"altered gene expression/ gene regulation: silencing; other evidence: transgenic plants","gene mutation: regulator",,"transgenic plant",
"biochemical analysis",,,"biochemical analysis",
"biochemical analysis; gene mutation: characterised","gene mutation: characterised",,"biochemical analysis",
"biochemical analysis; gene mutation: characterised; gene complementation","gene mutation: characterised",,"biochemical analysis; gene complementation",
"chemical complementation",,,"chemical complementation",
"functional test in host",,,"functional test in host",
"functional test in host: dipping",,,"functional test in host: dipping",
"functional test in host: direct injection",,,"functional test in host: direct injection",
"functional test in host: purified protein",,,"functional test in host: purified protein",
"functional test in host: recombinant protein",,,"functional test in host: recombinant protein",
"functional test in host: stable expression of 35s:harxl44 in arabidopsis",,,"functional test in host: stable expression of 35s:harxl44 in Arabidopsis",
"functional test in host: stable overexpression of med19a in arabidopsis",,,"functional test in host: stable overexpression of med19a in Arabidopsis",
"functional test in host: transconjugation",,,"functional test in host: transconjugation",
"functional test in host: transient expression",,,"functional test in host: transient expression",
"functional test in host: transient expression of recombinant mutant proteins",,,"functional test in host: transient expression of recombinant mutant proteins",
"functional test in host: transient expression of recombinant protein",,,"functional test in host: transient expression of recombinant protein",
"functional test in host: transient expression; gene deletion: full","gene deletion: full",,"functional test in host: transient expression; gene deletion: full",
"functional test in host: transient expression; gene deletion: full; gene complementation","gene deletion: full",,"functional test in host: transient overexpression; gene complementation",
"functional test in host: transient expression; gene mutation","gene mutation",,"functional test in host: transient expression",
"functional test in host: transient expression; gene mutation: characterised","gene mutation: characterised",,"functional test in host: transient expression",
"functional test in host: transient overexpression",,,"functional test in host: transient overexpression",
"gene complementation","gene complementation",,,
"gene complementation; altered gene expression / gene regulation: overexpression","altered gene expression / gene regulation: overexpression",,"gene complementation","overexpression"
"gene deletion","gene deletion",,,
"gene deletion full; gene complementation","gene deletion full",,"gene complementation",
"gene deletion; altered gene expression / gene regulation: overexpression","gene deletion; gene mutation: regulator",,,"overexpression"
"gene deletion; biochemical analysis","gene deletion",,"biochemical analysis",
"gene deletion; complementation","gene deletion",,"complementation",
