ID,LABEL
PHIPO:0000001,pathogen host interaction phenotype
PHIPO:0000002,single species phenotype
PHIPO:0000003,tissue phenotype
PHIPO:0000004,unaffected pathogenicity
PHIPO:0000005,obsolete abnormal pathogenicity
PHIPO:0000006,pathogenicity phenotype
PHIPO:0000007,obsolete functional pathogen effector absent
PHIPO:0000008,obsolete functional pathogen effector present
PHIPO:0000009,gain of pathogenicity
PHIPO:0000010,loss of pathogenicity
PHIPO:0000011,virulence phenotype
PHIPO:0000012,unaffected virulence
PHIPO:0000013,obsolete abnormal virulence
PHIPO:0000014,increased virulence
PHIPO:0000015,reduced virulence
PHIPO:0000016,normal single species phenotype
PHIPO:0000017,abnormal single species phenotype
PHIPO:0000018,lipid droplets present in decreased numbers
PHIPO:0000019,inviable cell
PHIPO:0000021,increased sensitivity to chemical
PHIPO:0000022,increased resistance to chemical
PHIPO:0000023,obsolete abnormal penetration assay phenotype
PHIPO:0000024,pathogen penetration across the barrier present
PHIPO:0000025,obsolete normal mating phenotype prior to penetration
PHIPO:0000026,obsolete normal penetration
PHIPO:0000027,normal pathogen growth after penetration of the barrier
PHIPO:0000028,normal formation of pathogen penetration structure
PHIPO:0000029,obsolete abnormal mating phenotype prior to penetration
PHIPO:0000030,pathogen penetration across the barrier absent
PHIPO:0000031,abnormal pathogen growth after penetration of the barrier
PHIPO:0000032,abnormal formation of pathogen penetration structure
PHIPO:0000033,obsolete abnormal pathogen growth on host surface
PHIPO:0000034,cell phenotype
PHIPO:0000035,mutualism present
PHIPO:0000036,abnormal lipid droplet morphology
PHIPO:0000038,mutualism phenotype
PHIPO:0000039,normal mutualism
PHIPO:0000040,abnormal mutualism
PHIPO:0000041,obsolete normal motility phenotype
PHIPO:0000042,obsolete abnormal motility phenotype
PHIPO:0000043,abnormal reproduction phenotype
PHIPO:0000044,normal reproduction phenotype
PHIPO:0000045,normal asexual reproduction
PHIPO:0000046,normal sexual reproduction
PHIPO:0000047,abnormal asexual reproduction
PHIPO:0000048,abnormal sexual reproduction
PHIPO:0000049,increased number of sexual spores
PHIPO:0000050,decreased number of sexual spores
PHIPO:0000051,increased number of asexual spores
PHIPO:0000052,decreased number of asexual spores
PHIPO:0000053,delayed asexual sporulation
PHIPO:0000054,premature asexual sporulation
PHIPO:0000055,delayed sexual sporulation
PHIPO:0000056,premature sexual sporulation
PHIPO:0000057,normal number of sexual spores
PHIPO:0000058,obsolete normal timing in production of sexual spores
PHIPO:0000059,normal number of asexual spores
PHIPO:0000060,obsolete normal timing in production of asexual spores
PHIPO:0000061,asexual spores absent
PHIPO:0000062,sexual spores absent
PHIPO:0000063,sexual spores present
PHIPO:0000064,asexual spores present
PHIPO:0000065,asexual spores increased in size
PHIPO:0000066,obsolete abnormal timing of asexual spore production
PHIPO:0000067,asexual spores decreased in size
PHIPO:0000068,sexual spores increased in size
PHIPO:0000069,sexual spores decreased in size
PHIPO:0000070,altered in pigment accumulation in sexual spore
PHIPO:0000071,abnormal sexual spore size
PHIPO:0000072,abnormal sexual spore shape
PHIPO:0000073,abnormal number of sexual spores
PHIPO:0000074,obsolete abnormal timing of sexual spore production
PHIPO:0000075,abnormal asexual spore shape
PHIPO:0000076,altered in pigment accumulation in asexual spore
PHIPO:0000077,abnormal sexual sporulation
PHIPO:0000078,abnormal asexual sporulation
PHIPO:0000079,normal sexual sporulation
PHIPO:0000080,normal asexual sporulation
PHIPO:0000081,abnormal asexual spore size
PHIPO:0000082,abnormal number of asexual spores
PHIPO:0000083,obsolete abnormal asexual spore motility
PHIPO:0000084,obsolete increased asexual spore motility
PHIPO:0000085,obsolete decreased asexual spore motility
PHIPO:0000086,obsolete normal asexual spore motility
PHIPO:0000087,obsolete normal binary fission
PHIPO:0000088,obsolete normal budding
PHIPO:0000089,obsolete normal fragmentation
PHIPO:0000090,obsolete normal parthenogenesis
PHIPO:0000091,obsolete abnormal budding
PHIPO:0000092,obsolete abnormal binary fission
PHIPO:0000093,obsolete abnormal parthenogenesis
PHIPO:0000094,obsolete normal mitosis in asexual reproduction
PHIPO:0000095,obsolete abnormal mitosis in asexual reproduction
PHIPO:0000096,abnormal meiosis II
PHIPO:0000097,abnormal meiosis I
PHIPO:0000098,normal meiosis II
PHIPO:0000099,normal meiosis I
PHIPO:0000100,obsolete increased motility
PHIPO:0000101,obsolete decreased motility
PHIPO:0000102,obsolete loss of motility
PHIPO:0000103,obsolete gain of motility
PHIPO:0000104,increased size of penetration structure
PHIPO:0000105,decreased size of penetration structure
PHIPO:0000106,increased number of penetration structure
PHIPO:0000107,decreased number of penetration structure
PHIPO:0000108,delayed timing of penetration structure formation
PHIPO:0000109,premature penetration structure formation
PHIPO:0000110,abolished formation of pathogen penetration structure
PHIPO:0000111,delayed pathogen penetration across the barrier
PHIPO:0000112,obsolete non-functional penetration structure present
PHIPO:0000113,obsolete altered functionality of penetration structure
PHIPO:0000114,increased pathogen penetration across the barrier
PHIPO:0000115,decreased pathogen penetration across the barrier
PHIPO:0000116,abolished pathogen growth after penetration of the barrier
PHIPO:0000117,increased pathogen growth after penetration of the barrier
PHIPO:0000118,decreased pathogen growth after penetration of the barrier
PHIPO:0000119,delayed timing of pathogen growth after penetration of the barrier
PHIPO:0000120,premature pathogen growth after penetration of the barrier
PHIPO:0000121,abnormal asexual reproductive structure development
PHIPO:0000122,abnormal endospore formation
PHIPO:0000124,obsolete abnormal penetration structure present
PHIPO:0000125,obsolete abnormal pathogen growth post penetration present
PHIPO:0000126,premature pathogen penetration across the barrier
PHIPO:0000127,abnormal asexual spore morphology
PHIPO:0000128,normal asexual spore morphology
PHIPO:0000129,normal asexual reproductive structure development
PHIPO:0000130,abnormal sexual spore morphology
PHIPO:0000131,pathogen host protein-protein interaction phenotype
PHIPO:0000132,protein-protein interaction phenotype
PHIPO:0000133,abnormal protein-protein interaction
PHIPO:0000134,normal protein-protein interaction
PHIPO:0000135,abolished protein-protein interaction
PHIPO:0000136,decreased protein-protein interaction
PHIPO:0000137,increased protein-protein interaction
PHIPO:0000138,altered protein binding specificity
PHIPO:0000139,abnormal protein complex binding
PHIPO:0000140,decreased duration of protein-protein interaction
PHIPO:0000141,decreased extent and duration of protein-protein interaction
PHIPO:0000142,RNA binding phenotype
PHIPO:0000143,DNA binding phenotype
PHIPO:0000144,normal protein complex binding
PHIPO:0000145,abnormal DNA binding
PHIPO:0000146,normal DNA binding
PHIPO:0000147,abolished DNA binding
PHIPO:0000148,altered DNA binding specificity
PHIPO:0000149,decreased DNA binding
PHIPO:0000150,increased DNA binding
PHIPO:0000151,abnormal multiple protein binding to DNA
PHIPO:0000152,abnormal RNA binding
PHIPO:0000153,normal RNA binding
PHIPO:0000154,abolished RNA binding
PHIPO:0000155,decreased RNA binding
PHIPO:0000156,increased RNA binding
PHIPO:0000157,obsolete motility phenotype
PHIPO:0000158,binding phenotype
PHIPO:0000159,normal subcellular component
PHIPO:0000160,pathogen penetration across barrier phenotype
PHIPO:0000161,reproductive phenotype
PHIPO:0000162,unicellular population growth phenotype
PHIPO:0000164,pathogen host interaction binding phenotype
PHIPO:0000165,obsolete abnormal host lesion formation with pathogen
PHIPO:0000166,obsolete chlorosis phenotype
PHIPO:0000167,obsolete pathogen host interaction RNA binding phenotype
PHIPO:0000168,obsolete abnormal pathogen host interaction RNA binding
PHIPO:0000169,obsolete chlorosis absent
PHIPO:0000170,obsolete chlorosis present
PHIPO:0000171,obsolete normal pathogen host interaction RNA binding
PHIPO:0000172,obsolete abolished pathogen host interaction RNA binding
PHIPO:0000173,abolished filamentous growth on host surface
PHIPO:0000174,obsolete decreased pathogen host interaction RNA binding
PHIPO:0000175,obsolete normal pathogen growth on host surface
PHIPO:0000176,obsolete increased pathogen host interaction RNA binding
PHIPO:0000177,obsolete yeast-form growth phenotype
PHIPO:0000178,obsolete pathogen host interaction DNA binding phenotype
PHIPO:0000180,obsolete abnormal pathogen host interaction DNA binding
PHIPO:0000182,absence of host-defense induced lesion by host hypersensitive response
PHIPO:0000183,obsolete normal pathogen host interaction DNA binding
PHIPO:0000184,obsolete pathogen adhesion to host phenotype
PHIPO:0000185,obsolete abnormal pathogen host interaction multiple protein binding to DNA
PHIPO:0000187,obsolete abolished pathogen host interaction DNA binding
PHIPO:0000188,pathogen growth on host surface phenotype
PHIPO:0000189,obsolete altered pathogen host interaction DNA binding specificity
PHIPO:0000190,delayed host-defense induced lesion formation by host hypersensitive response
PHIPO:0000191,obsolete decreased pathogen host interaction DNA binding
PHIPO:0000192,presence of host-defense induced lesion by host hypersensitive response
PHIPO:0000193,obsolete increased pathogen host interaction DNA binding
PHIPO:0000195,obsolete normal host lesion formation with pathogen
PHIPO:0000196,normal aerial height of filament
PHIPO:0000197,obsolete abnormal pathogen host protein protein interaction
PHIPO:0000198,obsolete pathogen host interaction transporter phenotype
PHIPO:0000199,obsolete normal pathogen host protein protein interaction
PHIPO:0000200,host chlorosis phenotype in presence of pathogen
PHIPO:0000201,obsolete normal pathogen host protein complex binding
PHIPO:0000202,obsolete abnormal pathogen host protein complex binding
PHIPO:0000203,obsolete increased aerial height of filamentous colony affecting colony shape
PHIPO:0000205,decreased aerial height of filament
PHIPO:0000206,obsolete altered pathogen and host protein binding specificity
PHIPO:0000207,loss of mutualism
PHIPO:0000208,obsolete decreased duration of pathogen host protein-protein interaction
PHIPO:0000209,obsolete increased stature
PHIPO:0000210,obsolete decreased extent and duration of pathogen host protein-protein interaction
PHIPO:0000211,obsolete decreased stature
PHIPO:0000212,decreased pathogen host protein-protein interaction
PHIPO:0000213,host chlorosis absent in presence of pathogen
PHIPO:0000214,increased pathogen host protein-protein interaction
PHIPO:0000215,host chlorosis present in presence of pathogen
PHIPO:0000216,obsolete pathogen host interaction disease symptom phenotype
PHIPO:0000217,obsolete pathogen host interaction primary metabolic process phenotype
PHIPO:0000218,obsolete abnormal pathogen host interaction toxin biosynthetic process
PHIPO:0000219,decreased level of pathogen deoxynivalenol within host
PHIPO:0000220,obsolete pathogen host interaction metabolic process phenotype
PHIPO:0000224,obsolete altered colour of host lesion with pathogen
PHIPO:0000226,obsolete pathogen host interaction secondary metabolite biosynthetic process phenotype
PHIPO:0000227,obsolete pathogen host interaction secondary metabolic process phenotype
PHIPO:0000228,obsolete normal pathogen host interaction biosynthesis of deoxynivalenol
PHIPO:0000229,obsolete abnormal pathogen host interaction biosynthesis of deoxynivalenol
PHIPO:0000230,obsolete normal pathogen host interaction toxin biosynthetic process
PHIPO:0000231,obsolete pathogen host interaction toxin biosynthetic process phenotype
PHIPO:0000232,increased level of pathogen deoxynivalenol within host
PHIPO:0000233,pathogen deoxynivalenol within host present
PHIPO:0000234,pathogen deoxynivalenol within host absent
PHIPO:0000235,localization phenotype
PHIPO:0000236,pathogen host interaction localization phenotype
PHIPO:0000237,protein localization phenotype
PHIPO:0000238,obsolete pathogen host interaction protein localization phenotype
PHIPO:0000239,abnormal protein localization
PHIPO:0000240,abnormal pathogen protein localization within host
PHIPO:0000241,abnormal protein complex localization
PHIPO:0000242,obsolete abnormal pathogen host interaction protein complex localization
PHIPO:0000243,obsolete abnormal pathogen host interaction protein localization to nucleus
PHIPO:0000244,abnormal protein localization to nucleus
PHIPO:0000245,abolished protein localization
PHIPO:0000246,abolished pathogen protein localization within host
PHIPO:0000247,abolished pathogen protein localization to host nucleus
PHIPO:0000248,abolished protein localization to nucleus
PHIPO:0000249,RNA localization phenotype
PHIPO:0000250,obsolete pathogen host interaction RNA localization phenotype
PHIPO:0000251,abnormal RNA localization
PHIPO:0000252,obsolete abnormal pathogen host interaction RNA localization
PHIPO:0000253,normal RNA localization
PHIPO:0000254,obsolete normal pathogen host interaction RNA localization
PHIPO:0000255,obsolete pathogen host interaction transport phenotype
PHIPO:0000256,transport phenotype
PHIPO:0000257,abnormal transport
PHIPO:0000258,obsolete abnormal pathogen host interaction transport
PHIPO:0000259,normal protein transport
PHIPO:0000260,obsolete normal pathogen host interaction protein transport
PHIPO:0000261,abnormal endocytosis
PHIPO:0000262,obsolete abnormal pathogen host interaction endocytosis
PHIPO:0000263,abnormal nuclear transport
PHIPO:0000264,obsolete abnormal pathogen host interaction nuclear transport
PHIPO:0000265,abnormal protein transport
PHIPO:0000266,obsolete abnormal pathogen host interaction protein transport
PHIPO:0000267,abnormal vacuolar transport
PHIPO:0000268,obsolete abnormal pathogen host interaction vacuolar transport
PHIPO:0000269,normal protein localization
PHIPO:0000270,normal pathogen protein and host protein colocalization within host
PHIPO:0000271,normal protein localization to nucleus
PHIPO:0000272,normal pathogen protein localization to host nucleus
PHIPO:0000274,increased asexual spore germination frequency
PHIPO:0000275,abnormal tissue phenotype
PHIPO:0000276,normal tissue phenotype
PHIPO:0000277,obsolete abnormal filamentous growth
PHIPO:0000279,obsolete systemic phenotype
PHIPO:0000280,pathogen effector mediated modulation of host immune system process
PHIPO:0000281,obsolete stature phenotype
PHIPO:0000282,obsolete abnormal stature
PHIPO:0000283,obsolete normal stature
PHIPO:0000284,pigment phenotype
PHIPO:0000285,abnormal cellular pigment accumulation
PHIPO:0000286,normal cellular pigment accumulation
PHIPO:0000287,increased cellular pigment accumulation
PHIPO:0000288,decreased cellular pigment accumulation
PHIPO:0000289,obsolete altered colour
PHIPO:0000290,obsolete colour present
PHIPO:0000291,obsolete colour absent
PHIPO:0000292,decreased filament length
PHIPO:0000293,obsolete abnormal organism morphology phenotype
PHIPO:0000294,obsolete normal organism morphology phenotype
PHIPO:0000295,sinusoidal filament
PHIPO:0000296,obsolete normal dissemination of pathogen asexual product
PHIPO:0000297,obsolete normal dissemination of pathogen sexual product
PHIPO:0000298,obsolete abnormal dissemination of pathogen asexual product
PHIPO:0000299,obsolete abnormal dissemination of pathogen sexual product
PHIPO:0000300,abnormal dissemination of asexual spore
PHIPO:0000301,normal dissemination of asexual spore
PHIPO:0000302,normal dissemination of sexual spore
PHIPO:0000303,abnormal dissemination of sexual spore
PHIPO:0000305,obsolete effector of pathogenicity phenotype
PHIPO:0000306,obsolete abnormal effector of virulence
PHIPO:0000307,obsolete normal effector of pathogenicity
PHIPO:0000308,obsolete normal effector of pathogenicity activation of host defense
PHIPO:0000309,obsolete normal effector of pathogenicity suppression of host defense
PHIPO:0000310,obsolete normal effector of virulence
PHIPO:0000311,obsolete effector of virulence phenotype
PHIPO:0000312,obsolete abnormal effector of pathogenicity
PHIPO:0000313,obsolete normal effector of virulence activation of host defense
PHIPO:0000314,obsolete normal effector of virulence suppression of host defense
PHIPO:0000315,obsolete abnormal effector of virulence activation of host defense
PHIPO:0000316,obsolete decreased effector of virulence activation of host defense
PHIPO:0000317,obsolete increased effector of virulence activation of host defense
PHIPO:0000318,obsolete abnormal effector of virulence suppression of host defense
PHIPO:0000319,obsolete decreased effector of virulence suppression of host defense
PHIPO:0000320,obsolete increased effector of virulence suppression of host defense
PHIPO:0000321,obsolete abnormal effector of pathogenicity activation of host defense
PHIPO:0000322,obsolete gain of effector of pathogenicity activation of host defense
PHIPO:0000323,obsolete loss of effector of pathogenicity activation of host defense
PHIPO:0000324,obsolete abnormal effector of pathogenicity suppression of host defense
PHIPO:0000325,obsolete gain of effector of pathogenicity suppression of host defense
PHIPO:0000326,obsolete loss of effector of pathogenicity suppression of host defense
PHIPO:0000327,resistance to cyproconazole
PHIPO:0000328,normal cellular component organization
PHIPO:0000329,sensitive to cyproconazole
PHIPO:0000330,abnormal transporter activity
PHIPO:0000331,pathogen penetration into host present
PHIPO:0000332,pathogen colonization of host phenotype
PHIPO:0000333,pathogen cell to cell migration within host phenotype
PHIPO:0000334,abnormal pathogen cell to cell migration within host
PHIPO:0000335,normal pathogen cell to cell migration within host
PHIPO:0000336,obsolete intracellular growth phenotype
PHIPO:0000337,obsolete extracellular growth phenotype
PHIPO:0000338,increased pathogen cell to cell migration within host
PHIPO:0000339,decreased pathogen cell to cell migration within host
PHIPO:0000340,abolished pathogen cell to cell migration within host
PHIPO:0000341,obsolete gain of pathogen cell to cell migration within host
PHIPO:0000342,premature pathogen cell to cell migration within host
PHIPO:0000343,delayed pathogen cell to cell migration within host
PHIPO:0000344,obsolete normal pathogen host interaction molecular function
PHIPO:0000345,obsolete abnormal pathogen host interaction molecular function
PHIPO:0000346,obsolete host necrotic lesion with pathogen phenotype
PHIPO:0000347,pathogen host interaction molecular function phenotype
PHIPO:0000348,obsolete pathogen host interaction catalytic activity phenotype
PHIPO:0000349,presence of pathogen growth on host surface
PHIPO:0000350,absence of pathogen growth on host surface
PHIPO:0000351,obsolete pathogen is able to penetrate host
