uniprot_id,phig_id
O59924,PHIG:1
D0ZV89,PHIG:2
Q00580,PHIG:3
P0AC26,PHIG:4
Q9P880,PHIG:5
T2K373,PHIG:6
A1AEE9,PHIG:7
G4PXR6,PHIG:8
C1KJH7,PHIG:9
C1KJG7,PHIG:10
I1RAE5,PHIG:11
L7JE74,PHIG:12
Q9HF03,PHIG:13
H9L4I8,PHIG:14
A0A0D6IDM0,PHIG:15
A0A0L0V0Y3,PHIG:16
G4N3J3,PHIG:17
G4N9S6,PHIG:18
G4NE07,PHIG:19
G4N8F9,PHIG:20
A0A2L1CF02,PHIG:21
G4MTV1,PHIG:22
G4MV60,PHIG:23
P0CT16,PHIG:24
Q9HTY6,PHIG:25
Q9I697,PHIG:26
Q8J0E2,PHIG:27
A0A075TXZ8,PHIG:28
A0A075TRC0,PHIG:29
A0A384JS06,PHIG:30
J9VHR2,PHIG:31
P00448,PHIG:32
Q9I5F6,PHIG:33
G4MRX0,PHIG:34
P9WJX9,PHIG:35
G4MV67,PHIG:36
Q2YJ35,PHIG:37
Q5A650,PHIG:38
P52497,PHIG:39
Q51368,PHIG:40
Q03456,PHIG:41
B5DBZ7,PHIG:42
O87753,PHIG:43
J9QY50,PHIG:44
G7SDV6,PHIG:45
G4N983,PHIG:46
A0A0F6B259,PHIG:47
A0A0F6B1I9,PHIG:48
A0A0F6B4X5,PHIG:49
H9DUR1,PHIG:50
Q6FUD7,PHIG:51
C1KVQ1,PHIG:52
A0A8E6Y3T8,PHIG:53
A0A8E6Y6B3,PHIG:54
A0A8E6Y534,PHIG:55
A0A8E6Y917,PHIG:56
B4EJI4,PHIG:57
Q4WWU2,PHIG:58
G4NID2,PHIG:59
G4ND28,PHIG:60
G4MQ19,PHIG:61
G4NEZ3,PHIG:62
O48334,PHIG:63
G4PE71,PHIG:64
G4PE72,PHIG:65
G4PE73,PHIG:66
G4PE69,PHIG:67
A0A0M3FPT8,PHIG:68
B0V5N5,PHIG:69
A3M7A4,PHIG:70
P15028,PHIG:71
P13036,PHIG:72
P15029,PHIG:73
P23485,PHIG:74
P23484,PHIG:75
P15030,PHIG:76
P15031,PHIG:77
O93800,PHIG:78
O93801,PHIG:79
O42720,PHIG:80
G4N740,PHIG:81
D7UQ40,PHIG:82
Q8YF53,PHIG:83
Q572D3,PHIG:84
B2RM93,PHIG:85
Q5SC61,PHIG:86
A0A2U8ZT94,PHIG:87
A0A384JIS4,PHIG:88
Q8YFK0,PHIG:89
Q8YFR7,PHIG:90
Q99XV0,PHIG:91
P16947,PHIG:92
G4NAT9,PHIG:93
G4NF12,PHIG:94
G4NFS7,PHIG:95
Q2LD94,PHIG:96
G4N2V0,PHIG:97
G5EHY2,PHIG:98
G4N6G5,PHIG:99
G4ND33,PHIG:100
Q4WRP6,PHIG:101
A0A380SCR0,PHIG:102
N4X174,PHIG:103
N4X8R0,PHIG:104
A0A0K0GNJ3,PHIG:105
Q0PAS9,PHIG:106
G4MZ62,PHIG:107
G3F820,PHIG:108
A3QX02,PHIG:109
Q2A589,PHIG:110
Q9HW06,PHIG:111
Q9I074,PHIG:112
Q9HXP1,PHIG:113
Q9HZ54,PHIG:114
Q9HXP0,PHIG:115
Q9HYD6,PHIG:116
Q9I4X9,PHIG:117
Q9HU13,PHIG:118
Q9HUW9,PHIG:119
G2WXZ2,PHIG:120
G2X6S4,PHIG:121
I6YDU0,PHIG:122
L7WLT2,PHIG:123
A0A0E0S0W9,PHIG:124
I1RBR4,PHIG:125
I1RAY2,PHIG:126
N4WE43,PHIG:127
N4WE73,PHIG:128
N4WQZ8,PHIG:129
N4WR35,PHIG:130
N4WW42,PHIG:131
N4WEA4,PHIG:132
G4MX10,PHIG:133
P0ACR9,PHIG:134
A8Z3D6,PHIG:135
P60943,PHIG:136
A8Z0F5,PHIG:137
Q6MX50,PHIG:138
G4MLP9,PHIG:139
G4MWC3,PHIG:140
G4MV25,PHIG:141
G4ML85,PHIG:142
G4NAB0,PHIG:143
Q9HG08,PHIG:144
Q01143,PHIG:145
G4NCH6,PHIG:146
G4MXC6,PHIG:147
E9DS25,PHIG:148
A0A0F6B1M3,PHIG:149
Q8Z2C1,PHIG:150
G4NDI1,PHIG:151
G4N8G2,PHIG:152
I1RD63,PHIG:153
I1RC52,PHIG:154
I1RG99,PHIG:155
I1REC4,PHIG:156
I1RYY6,PHIG:157
G5EHZ3,PHIG:158
P43459,PHIG:159
Q7BCK4,PHIG:160
Q0SXL9,PHIG:161
A0A2S4N3N0,PHIG:162
A0A2S4MYF8,PHIG:163
P0A1K9,PHIG:164
A0QHC4,PHIG:165
Q07730,PHIG:166
Q51380,PHIG:167
A0A0L0VB04,PHIG:168
A0A0F7R1R1,PHIG:169
Q5ALT5,PHIG:170
A0A4T0VYD8,PHIG:171
A0A1B7Y5W1,PHIG:172
D2TRX7,PHIG:173
E0SH71,PHIG:174
E0SF07,PHIG:175
D0ZLQ7,PHIG:176
A0A0A1UVV3,PHIG:177
B3VA60,PHIG:178
Q6RKI7,PHIG:179
Q6RKI8,PHIG:180
Q2VF46,PHIG:181
Q3BM44,PHIG:182
G8AA67,PHIG:183
Q5ANE3,PHIG:184
Q8X125,PHIG:185
D2EAX9,PHIG:186
D2EAX7,PHIG:187
D2EAX8,PHIG:188
Q4PCT8,PHIG:189
Q4PH32,PHIG:190
Q4P671,PHIG:191
D2EAY0,PHIG:192
C8UF66,PHIG:193
A0A345Z9M0,PHIG:194
A0A226BSF5,PHIG:195
C9Z1K8,PHIG:196
C9ZGA1,PHIG:197
C9ZDB9,PHIG:198
B2HSW7,PHIG:199
Q4WJ77,PHIG:200
Q4WVS3,PHIG:201
Q4WLR6,PHIG:202
Q6PQG3,PHIG:203
A6RNZ1,PHIG:204
A0A177DFV7,PHIG:205
A0A177DDY0,PHIG:206
Q5XTQ4,PHIG:207
W9BBU8,PHIG:208
W9BCN0,PHIG:209
